Aal	'ʔaː.aːl
abbrechend	'ʔa.bʀə.çɛnt
Abbrechung	'ʔa.bʀə.çʊŋ
abbremsen	'ʔa.bʀəm.zən
abbremsend	'ʔa.bʀəm.zɛnt
Abbremsung	'ʔa.bʀəm.zʊŋ
abbrennen	'ʔa.bʀɛ.nən
abbrennend	'ʔa.bʀɛ.nɛnt
abbringen	'ʔa.bʀɪŋ.gən
abbringend	'ʔa.bʀɪŋ.gɛnt
Abbruch	'ʔa.bʀuːx
Abbruch Sport	'ʔa.bʀʊx  .ʃpɔɐt
Abbruch Programm	'ʔa.bʀʊx .pʀɔ.gʀam
Abbruchcode	'ʔa.bʀʊxc.oː.də
Abbruchmakro	'ʔa.bʀʊ.xma.kʀoː
abbröckelnd	'ʔa.bʀœ.kɛlnt
abbuchen	'ʔa.buː.xən
abbuchend	'ʔa.buː.xɛnt
abbuchende	'ʔa.buː.xən.də
Abbuchungsverfahren	'ʔa.buː.xʊnks.fɐ.faː.ʀən
abbürsten	'ʔa.byːɐ.ʃtən
abbürstend	'ʔa.byːɐ.ʃtɛnt
Abdampf	'ʔaːp.dampf
abdampfen	'ʔaːp.dam.pfən
abdampfen Person	'ʔaːp.dam.pfɛn .pɐ.zoːn
abdampfen Zug	'ʔaːp.dam.pfɛn .ʦuːk
abdanken	'ʔaːp.daŋ.kən
abdanken König	'ʔaːp.daŋ.kɛn .køː.nɪç
abdankend	'ʔaːp.daŋ.kɛnt
Abdanker	'ʔaːp.daŋ.kɐ
Abdankung	'ʔaːp.daŋ.kʊŋ
Abdankungen	'ʔaːp.daŋ.kʊŋ.gən
abdecken	'ʔaːp.dɛ.kən
abdecken Dach	'ʔaːp.dɛ.kɛn .daːx
abdecken Haus	'ʔaːp.dɛ.kɛn .haʊs
abdeckend	'ʔaːp.dɛ.kɛnt
Abdeckung	'ʔaːp.dɛ.kʊŋ
abdichten	'ʔaːp.dɪç.tən
abdichtend	'ʔaːp.dɪç.tɛnt
Abdichter	'ʔaːp.dɪç.tɐ
Abdichtung	'ʔaːp.dɪç.tʊŋ
Abdichtungen	'ʔaːp.dɪç.tʊŋ.gən
abdrehen	'ʔaːp.dʀeː.ən
abdrehend	'ʔaːp.dʀeː.ɛnt
abdrosseln	'ʔaːp.dʀɔ.sɛln
abdrosselnd	'ʔaːp.dʀɔ.sɛlnt
Abdruck	'ʔaːp.dʀʊk
Abdrücke	'ʔaːp.dʀʏ.kə
abdrückend	'ʔaːp.dʀʏ.kɛnt
Abdunkelungsvorrichtung	'ʔaːp.dʊŋ.kə.lʊnks.fɔ.ʀɪç.tʊŋ
Abdunklung	'ʔaːp.dʊŋ.klʊŋ
abdämmen	'ʔaːp.dɛ.mən
abelsche Gruppe	'ʔaː.bəl.ʃeː .gʀʊ.pɛ
abend	'ʔaː.bɛnt
abend	'ʔaː.bɛnt
Abendandacht	'ʔaː.bən.dan.daxt
Abendbrot essen	'ʔaː.bɛnt.bʀɔt .ɛ.sən
Abenddämmerung	'ʔaː.bən.dɛ.mə.ʀʊŋ
Abenddämmerungen	'ʔaː.bɛn.dɛ.mə.ʀʊŋ.gən
Abende	'ʔaː.bən.də
Abendessen	'ʔaː.bɛn.dɛ.sən
Abendgarderobe	'ʔaː.bɛnt.gaɐ.də.ʀoː.bə
Abendgesellschaften	'ʔaː.bɛnt.gə.zɛl.ʃaːf.tən
Abendglocke	'ʔaː.bɛnt.glɔ.kə
Abendglocken	'ʔaː.bɛnt.glɔ.kən
Abendkleid	'ʔaː.bɛnt.klaɪt
Abendkleider	'ʔaː.bɛnt.klaɪ.dɐ
Abendkurs	'ʔaː.bɛnt.kʊɐs
Abendkurse	'ʔaː.bɛnt.kuːɐ.zə
Abendland	'ʔaː.bən.dlant
abendländisch	'ʔaː.bɛn.dlən.diːʃ
abendländische	'ʔaː.bɛn.dlən.diː.ʃə
Abendmahl kirchlich	'ʔaː.bɛnt.maːl  .kɪɐ.çlɪç
Abendrot	'ʔaː.bən.dʀoːt
Abendröte	'ʔaː.bən.dʀøː.tə
Abendschule	'ʔaː.bɛnt.ʃuː.lə
Abendsonne	'ʔaː.bɛnt.zɔ.nə
Abendstern	'ʔaː.bɛnt.ʃtɐn
Abendvorstellung	'ʔaː.bɛnt.foːɐ.ʃtɛ.lʊŋ
Abendzeitung	'ʔaː.bɛnt.ʦaɪ.tʊŋ
Abenteuer	'ʔaː.bən.tɔɪ.ɐ
Abenteuergeschichte	'ʔaː.bən.tɔɪ.ɐ.gə.ʃɪç.tə
Abenteuerleben	'ʔaː.bɛn.tɔɪ.ə.ʀlə.bən
abenteuerlich	'ʔaː.bən.tɔɪ.ə.ʀlɪç
abenteuerliche	'ʔaː.bən.tɔɪ.ə.ʀlɪ.çə
Abenteuerlichkeit	'ʔaː.bən.tɔɪ.ə.ʀlɪç.kaɪt
Abenteuerlust	'ʔaː.bən.tɔɪ.ə.ʀlʊst
abenteuerlustig	'ʔaː.bən.tɔɪ.ə.ʀlʊ.ʃtɪç
Abenteurer	'ʔaː.bən.tɔɪ.ʀɐ
Abenteurerin	'ʔaː.bən.tɔɪ.ʀə.ʀiːn
aber	'ʔaː.bɐ
aber dennoch ehrlich	'ʔaː.bɛɐ .dɛ.nɔx .eː.ʀlɪç
aber ja	'ʔaː.bɛɐ .jaː
aber nein	'ʔaː.bɛɐ .naɪn
aber selbstverständlich	'ʔaː.bɛɐ .zɛlpst.fɐ.ʃtən.dlɪç
Aberglaube	'ʔaː.bɐ.glaʊ.bə
abergläubisch	'ʔaː.bɐ.glə.uː.biːʃ
abergläubische	'ʔaː.bɐ.glə.uː.biː.ʃə
aberkannt	'ʔaː.bɐ.kant
aberkennend	'ʔaː.bɐ.kɛ.nɛnt
Aberkennung	'ʔaː.bɐ.kɛ.nʊŋ
abermalig	'ʔaː.bɐ.maː.lɪç
abermals	'ʔaː.bɐ.mals
aberntend	'ʔaː.bɐn.tɛnt
abfahren	'ʔaːp.faː.ʀən
abfahren nach	'ʔaːp.faː.ʀɛn .naːx
abfahrend	'ʔaːp.faː.ʀɛnt
Abfahrt	'ʔaːp.faːɐt
Abfahrten	'ʔaːp.faːɐ.tən
Abfahrtszeit	'ʔaːp.faːɐt.sʦaɪt
Abfall	'ʔaːp.fal
Abfallbehälter	'ʔaːp.fal.beː.əl.tɐ
Abfalleimer	'ʔaːp.fa.laɪ.mɐ
abfallen	'ʔaːp.fa.lən
abfallend	'ʔaːp.fa.lɛnt
abfallende	'ʔaːp.fa.lən.də
abfallendes Oberrohr	'ʔaːp.fa.lən.dɛs .oː.bɛ.ʀoːɐ
Abfallentsorgung	'ʔaːp.fa.lɛnt.zɔɐ.gʊŋ
Abfallkasten am Lochstreifenstanzer	'ʔaːp.fal.ka.ʃtɛn  .am .loːx.ʃtʀaɪ.fən.ʃtan.ʦɐ
Abfallpapier	'ʔaːp.fal.paː.piːɐ
Abfallprodukt	'ʔaːp.fal.pʀoː.dʊkt
Abfallprodukte	'ʔaːp.fal.pʀoː.duːk.tə
Abfallzeit	'ʔaːp.fal.ʦaɪt
abfangend	'ʔaːp.faŋ.gɛnt
abfassen	'ʔaːp.fa.sən
abfassend	'ʔaːp.fa.sɛnt
Abfassung	'ʔaːp.fa.sʊŋ
abfaulen	'ʔaːp.faʊ.lən
abfaulend	'ʔaːp.faʊ.lɛnt
abfeilen	'ʔaːp.faɪ.lən
abfeilend	'ʔaːp.faɪ.lɛnt
abfertigen	'ʔaːp.fɐ.tiː.gən
abfertigend	'ʔaːp.fɐ.tiː.gɛnt
Abfertigungen	'ʔaːp.fɐ.tiː.gʊŋ.gən
Abfertigungsstelle	'ʔaːp.fɐ.tiː.gʊnks.ʃtɛ.lə
abfeuern	'ʔaːp.fɔɪ.ɐn
abfeuernd	'ʔaːp.fɔɪ.ɛɐnt
Abfindung	'ʔaːp.fɪn.dʊŋ
Abfindungen	'ʔaːp.fɪn.dʊŋ.gən
Abfindungsvertrag	'ʔaːp.fɪn.dʊnks.fɐ.tʀaːk
abflachen	'ʔaːp.flaː.xən
abflachend	'ʔaːp.flaː.xɛnt
Abflachung	'ʔaːp.fla.xʊŋ
Abflachungen	'ʔaːp.fla.xʊŋ.gən
abflauen	'ʔaːp.flaʊ.ən
abflauend	'ʔaːp.flaʊ.ɛnt
abfliegend	'ʔaːp.fliː.gɛnt
abfließen	'ʔaːp.fliː.sən
abfließen	'ʔaːp.fliː.sən
abfließen lassen	'ʔaːp.fliː.sɛn .la.sən
abfließend	'ʔaːp.fliː.sɛnt
Abfluß	'ʔaːp.fluːs
Abfluß von Kapital	'ʔaːp.flʊs  .fɔn .kaː.piː.taːl
Abflußrohr	'ʔaːp.fluːs.ʀoːɐ
Abflußstelle	'ʔaːp.fluːs.ʃtɛ.lə
Abflüge	'ʔaːp.flyː.gə
abfordernd	'ʔaːp.fɔɐ.dɛɐnt
abforsten	'ʔaːp.foːɐ.ʃtən
abforstend	'ʔaːp.foːɐ.ʃtɛnt
Abforstung	'ʔaːp.foːɐ.ʃtʊŋ
Abforstungen	'ʔaːp.foːɐ.ʃtʊŋ.gən
Abfrage	'ʔaːp.fʀaː.gə
Abfrageeinrichtung	'ʔaːp.fʀaː.gə.aɪ.nʀɪç.tʊŋ
Abfragekriterium	'ʔaːp.fʀaː.gə.kʀiː.tə.ʀiː.uːm
abfragen	'ʔaːp.fʀaː.gən
abfragend	'ʔaːp.fʀaː.gɛnt
abfragenden	'ʔaːp.fʀaː.gɛn.dən
Abfragestation	ʔaːp.fʀaː.gə.ʃta.'ʦjoːn
Abfuhr	'ʔaːp.fuːɐ
abfällig	'ʔaːp.fɛ.lɪç
abfällige	'ʔaːp.fɛ.liː.gə
abfällige Bemerkung	'ʔaːp.fɛ.liː.geː .bə.mɐ.kʊŋ
abfälliger	'ʔaːp.fɛ.liː.gɐ
abfälligere	'ʔaːp.fɛ.liː.gə.ʀə
Abfälligkeit	'ʔaːp.fɛ.lɪç.kaɪt
abfälligste	'ʔaːp.fɛ.lɪç.ʃtə
abfärbend	'ʔaːp.fɐ.bɛnt
abfühlen	'ʔaːp.fyː.lən
Abfühlstift	'ʔaːp.fyːl.ʃtɪft
abführen	'ʔaːp.fyː.ʀən
abführend	'ʔaːp.fyː.ʀɛnt
abführende	'ʔaːp.fyː.ʀən.də
Abführmittel	'ʔaːp.fyːɐ.mɪ.təl
abfüllen	'ʔaːp.fʏ.lən
abfüllend	'ʔaːp.fʏ.lɛnt
Abfüllerfirma	'ʔaːp.fʏ.lɐ.fiːɐ.maː
Abfüllerfirmen	'ʔaːp.fʏ.lɐ.fiːɐ.mən
abfütternd	'ʔaːp.fʏ.tɛɐnt
Abgabe	'ʔaːp.gaː.bə
Abgaben	'ʔaːp.gaː.bən
Abgang	'ʔaːp.gaŋ
Abgang Bankbilanz	'ʔaːp.gank  .baŋ.biː.lanʦ
Abgang Warenversand	'ʔaːp.gank  .vaː.ʀən.fɐ.zant
Abgangsflughafen	'ʔaːp.gaŋ.sfluːk.haː.fən
Abgangskontrolle	'ʔaːp.gaŋ.skɔn.tʀɔ.lə
Abgangszeugnis	'ʔaːp.gaŋ.sʦɔɪ.gniːs
Abgas	'ʔaːp.gaːs
Abgaskühler	'ʔaːp.ga.skyː.lɐ
Abgasverlust	'ʔaːp.ga.sfə.ʀlʊst
abgearbeitet	'ʔaːp.gə.aɐ.baɪ.teːt
abgebaut	'ʔaːp.gə.baʊt
abgeben	'ʔaːp.gə.bən
abgebend	'ʔaːp.gə.bɛnt
abgebettelt	'ʔaːp.gə.bɛ.tɛlt
abgebildet	'ʔaːp.gə.bɪl.deːt
abgebissen	'ʔaːp.gə.bɪ.sən
abgeblasen	'ʔaːp.gə.blaː.zən
abgeblendet	'ʔaːp.gə.blən.deːt
abgeblitzt	'ʔaːp.gə.blɪʦt
abgeblättert	'ʔaːp.gə.blɛ.tɛɐt
abgebogen	'ʔaːp.gə.boː.gən
abgebracht	'ʔaːp.gə.bʀaxt
abgebrannt	'ʔaːp.gə.bʀant
abgebraust	'ʔaːp.gə.bʀaʊst
abgebremst	'ʔaːp.gə.bʀɛmst
abgebrochen	'ʔaːp.gə.bʀoː.xən
abgebröckelt	'ʔaːp.gə.bʀœ.kɛlt
abgebrüht	'ʔaːp.gə.bʀyːt
abgebucht	'ʔaːp.gə.bʊxt
abgebunden	'ʔaːp.gə.bʊn.dən
abgebürstet	'ʔaːp.gə.byːɐ.ʃteːt
abgedankt	'ʔaːp.gə.dankt
abgedeckt	'ʔaːp.gə.dɛkt
abgedichtet	'ʔaːp.gə.dɪç.teːt
abgedient	'ʔaːp.gə.diːnt
abgedreht	'ʔaːp.gə.dʀeːt
abgedroschen	'ʔaːp.gə.dʀoː.ʃən
abgedrosselt	'ʔaːp.gə.dʀɔ.sɛlt
abgedruckt	'ʔaːp.gə.dʀʊkt
abgedrückt	'ʔaːp.gə.dʀʏkt
abgeerntet	'ʔaːp.gə.ɐn.teːt
abgefallen	'ʔaːp.gə.fa.lən
abgefangen	'ʔaːp.gə.faŋ.gən
abgefasst	'ʔaːp.gə.fast
abgefault	'ʔaːp.gə.faʊlt
abgefeilt	'ʔaːp.gə.faɪlt
abgefertigt	'ʔaːp.gə.fɐ.tɪkt
abgefeuert	'ʔaːp.gə.fɔɪ.ɛɐt
abgeflachte	'ʔaːp.gə.flaːx.tə
abgeflaut	'ʔaːp.gə.flaʊt
abgeflogen	'ʔaːp.gə.floː.gən
abgeflossen	'ʔaːp.gə.flɔ.sən
abgeflossene	'ʔaːp.gə.flɔ.sə.nə
abgefordert	'ʔaːp.gə.fɔɐ.dɛɐt
abgefragt	'ʔaːp.gə.fʀakt
abgefunden	'ʔaːp.gə.fʊn.dən
abgefärbt	'ʔaːp.gə.fɛɐpt
abgeführt	'ʔaːp.gə.fyːɐt
abgefüllt	'ʔaːp.gə.fʏlt
abgefütterte	'ʔaːp.gə.fʏ.tɐ.tə
abgegeben	'ʔaːp.gə.gə.bən
abgeglitten	'ʔaːp.gə.glɪ.tən
abgegossen	'ʔaːp.gə.gɔ.sən
abgegraben	'ʔaːp.gə.gʀaː.bən
abgegrast	'ʔaːp.gə.gʀast
abgegrenzt	'ʔaːp.gə.gʀɛnʦt
abgehackt	'ʔaːp.geː.akt
abgehackter	'ʔaːp.geː.ak.tɐ
abgehackteste	'ʔaːp.geː.ak.tə.ʃtə
abgehalten	'ʔaːp.geː.al.tən
abgehalten werden	'ʔaːp.geː.al.tɛn .vɐ.dən
abgehaltener	'ʔaːp.geː.al.tə.nɐ
abgehangen Fleisch	'ʔaːp.geː.aŋ.gɛn .flaɪʃ
abgeheilt	'ʔaːp.geː.aɪlt
abgehend Tel	'ʔaːp.geː.ɛnt .təl
abgehetzt	'ʔaːp.geː.ɛʦt
abgehoben	'ʔaːp.geː.oː.bən
abgehobenzurückgezogen	'ʔaːp.geː.oː.bɛn.ʦuː.ʀʏk.gə.ʦoː.gən
abgeholt	'ʔaːp.geː.ɔlt
abgehängt	'ʔaːp.geː.ɛnkt
abgehärmt	'ʔaːp.geː.ɛɐmt
abgehärtet	'ʔaːp.geː.ɐ.teːt
abgehört	'ʔaːp.geː.œɐt
abgeirrt	'ʔaːp.gaɪɐt
abgejagt	'ʔaːp.gə.jakt
abgekauft	'ʔaːp.gə.kaʊft
abgekehrt	'ʔaːp.gə.keːɐt
abgeklemmt	'ʔaːp.gə.klɛmt
abgeklopft	'ʔaːp.gə.klɔpft
abgeklopfter	'ʔaːp.gə.klɔpf.tɐ
abgeklungen	'ʔaːp.gə.klʊŋ.gən
abgeklärt	'ʔaːp.gə.klɛɐt
abgeknabbert	'ʔaːp.gə.kna.bɛɐt
abgeknallt	'ʔaːp.gə.knalt
abgeknickt	'ʔaːp.gə.knɪkt
abgekocht	'ʔaːp.gə.kɔxt
abgekoppelt	'ʔaːp.gə.kɔ.pɛlt
abgekratzt	'ʔaːp.gə.kʀaʦt
abgekriegt	'ʔaːp.gə.kʀiːkt
abgekühlt	'ʔaːp.gə.kyːlt
abgekürzt	'ʔaːp.gə.kʏɐʦt
abgekürzte	'ʔaːp.gə.kʏɐʦ.tə
abgekürzte Adressierung	ʔaːp.gə.kʏɐʦ.teː .a.dʀɛ.'siː.ʀʊŋ
abgekürztes	'ʔaːp.gə.kʏɐʦ.teːs
abgekürztes Tastaturkommando	'ʔaːp.gə.kʏɐʦ.tɛs .ta.ʃta.tʊɐ.kɔ.man.doː
abgeküsst	'ʔaːp.gə.kʏst
abgeladen	'ʔaːp.gə.laː.dən
abgelagert	'ʔaːp.gə.laː.gɛɐt
abgelassen	'ʔaːp.gə.la.sən
abgelaufen	'ʔaːp.gə.laʊ.fən
abgeleckt	'ʔaːp.gə.lɛkt
abgelegen	'ʔaːp.gə.lə.gən
abgelegt	'ʔaːp.gə.lɛkt
abgelehnt	'ʔaːp.gə.leːnt
abgeleistet	'ʔaːp.gə.laɪ.ʃteːt
abgeleitet	'ʔaːp.gə.laɪ.teːt
abgelenkt	'ʔaːp.gə.lɛnkt
abgeleugnet	'ʔaːp.gə.lɔɪ.gneːt
abgelten Ansprüche	'ʔaːp.gəl.tɛn .aːn.ʃpʀyː.çə
abgelöscht	'ʔaːp.gə.lœʃt
abgelöst	'ʔaːp.gə.lœst
abgemacht	'ʔaːp.gə.maxt
abgemacht	'ʔaːp.gə.maxt
abgemachte	'ʔaːp.gə.maːx.tə
abgemagert	'ʔaːp.gə.maː.gɛɐt
abgemildert	'ʔaːp.gə.mɪl.dɛɐt
abgemustert	'ʔaːp.gə.mʊ.ʃtɛɐt
abgemüht	'ʔaːp.gə.myːt
abgenagt	'ʔaːp.gə.nakt
abgeneigt	'ʔaːp.gə.naɪkt
abgeneigt machen	'ʔaːp.gə.naɪkt .maː.xən
abgeneigt machend	'ʔaːp.gə.naɪkt .maː.xɛnt
abgeneigte	'ʔaːp.gə.naɪk.tə
abgeneigtes	'ʔaːp.gə.naɪk.teːs
Abgeneigtheit	'ʔaːp.gə.naɪkt.haɪt
abgenommen	'ʔaːp.gə.nɔ.mən
abgenutzt	'ʔaːp.gə.nʊʦt
abgenötigt	'ʔaːp.gə.nœ.tɪkt
abgeordnet	'ʔaːp.gə.ɔɐ.dneːt
Abgeordnete	'ʔaːp.gə.ɔɐ.dnə.tə
abgepalgt	'ʔaːp.gə.palkt
abgepasst	'ʔaːp.gə.past
abgepflückt	'ʔaːp.gə.pflʏkt
abgeplattet	'ʔaːp.gə.pla.teːt
abgeplattete	'ʔaːp.gə.pla.tə.tə
abgeprallt	'ʔaːp.gə.pʀalt
abgequetscht	'ʔaːp.gə.kvɛtʃt
abgequält	'ʔaːp.gə.kvɛlt
abgerackert	'ʔaːp.gə.ʀa.kɛɐt
abgeraten	'ʔaːp.gə.ʀaː.tən
abgerechnet	'ʔaːp.gə.ʀə.çneːt
abgereist	'ʔaːp.gə.ʀaɪst
abgerichtet	'ʔaːp.gə.ʀɪç.teːt
abgerieben	'ʔaːp.gə.ʀiː.bən
abgeriegelt	'ʔaːp.gə.ʀiː.gɛlt
abgerissen	'ʔaːp.gə.ʀɪ.sən
abgerollt	'ʔaːp.gə.ʀɔlt
abgerundet	'ʔaːp.gə.ʀʊn.deːt
abgerutscht	'ʔaːp.gə.ʀʊtʃt
abgeräumt	'ʔaːp.gə.ʀə.ʊmt
abgerückt	'ʔaːp.gə.ʀʏkt
abgerüstet	'ʔaːp.gə.ʀʏ.ʃteːt
abgesackt	'ʔaːp.gə.zakt
abgesahnt	'ʔaːp.gə.zaːnt
abgesandt	'ʔaːp.gə.zant
abgesandte	'ʔaːp.gə.zant.tə
abgesandte	'ʔaːp.gə.zant.tə
abgesaugt	'ʔaːp.gə.zaʊkt
abgeschafft	'ʔaːp.gə.ʃafft
abgeschaltet	'ʔaːp.gə.ʃal.teːt
abgeschieden	'ʔaːp.gə.ʃiː.dən
Abgeschiedenheit	'ʔaːp.gə.ʃiː.dən.haɪt
abgeschirmt	'ʔaːp.gə.ʃɪɐmt
abgeschlachtet	'ʔaːp.gə.ʃlaːx.teːt
abgeschleppt	'ʔaːp.gə.ʃlɛpt
abgeschliffen	'ʔaːp.gə.ʃliːf.fən
abgeschlossen	'ʔaːp.gə.ʃlɔ.sən
abgeschlossen	'ʔaːp.gə.ʃlɔ.sɛn
abgeschlossen Wohnung	'ʔaːp.gə.ʃlɔ.sɛn .voː.nʊŋ
Abgeschlossenheit	'ʔaːp.gə.ʃlɔ.sən.haɪt
Abgeschlossenheiten	'ʔaːp.gə.ʃlɔ.sɛn.haɪ.tən
abgeschmackt	'ʔaːp.gə.ʃmakt
abgeschmiert	'ʔaːp.gə.ʃmiːɐt
abgeschminkt	'ʔaːp.gə.ʃmɪnkt
abgeschmolzen	'ʔaːp.gə.ʃmɔl.ʦən
abgeschnallt	'ʔaːp.gə.ʃnalt
abgeschnitten	'ʔaːp.gə.ʃnɪ.tən
abgeschnitzelt	'ʔaːp.gə.ʃniːt.ʦɛlt
abgeschnürt	'ʔaːp.gə.ʃnʏɐt
abgeschoben	'ʔaːp.gə.ʃoː.bən
abgeschossen	'ʔaːp.gə.ʃɔ.sən
abgeschraubt	'ʔaːp.gə.ʃʀaʊpt
abgeschreckt	'ʔaːp.gə.ʃʀɛkt
abgeschreckteste	'ʔaːp.gə.ʃʀɛk.tə.ʃtə
abgeschrieben	'ʔaːp.gə.ʃʀiː.bən
abgeschritten	'ʔaːp.gə.ʃʀɪ.tən
abgeschrägt	'ʔaːp.gə.ʃʀɛkt
abgeschuftet	'ʔaːp.gə.ʃuːf.teːt
abgeschweift	'ʔaːp.gə.ʃvaɪft
abgeschwenkt	'ʔaːp.gə.ʃvɛnkt
abgeschworen	'ʔaːp.gə.ʃvoː.ʀən
abgeschwächt	'ʔaːp.gə.ʃvɛçt
abgeschwächtes	'ʔaːp.gə.ʃveːç.teːs
abgeschätzt	'ʔaːp.gə.ʃɛʦt
abgeschöpft	'ʔaːp.gə.ʃœpft
abgeschürft	'ʔaːp.gə.ʃʏɐft
abgeschüttelt	'ʔaːp.gə.ʃʏ.tɛlt
abgesegelt	'ʔaːp.gə.zə.gɛlt
abgesegelter	'ʔaːp.gə.zə.gəl.tɐ
abgesehen	'ʔaːp.gə.zeː.ən
abgesehen von	'ʔaːp.gə.zeː.ɛn .foːn
abgesehen von	'ʔaːp.gə.zeː.ɛn .foːn
abgeseift	'ʔaːp.gə.zaɪft
abgeseilt	'ʔaːp.gə.zaɪlt
abgesessen	'ʔaːp.gə.zɛ.sən
abgesetzt	'ʔaːp.gə.zɛʦt
abgesichert	'ʔaːp.gə.zɪ.çɛɐt
abgesondert	'ʔaːp.gə.zɔn.dɛɐt
abgesondertere	'ʔaːp.gə.zɔn.dɐ.tə.ʀə
abgesondertste	'ʔaːp.gə.zɔn.dɛɐt.ʃtə
abgespalten	'ʔaːp.gə.ʃpal.tən
abgespanntere	'ʔaːp.gə.ʃpan.tə.ʀə
abgespannteste	'ʔaːp.gə.ʃpan.tə.ʃtə
abgesperrt	'ʔaːp.gə.ʃpɛɐt
abgespiegelt	'ʔaːp.gə.ʃpiː.gɛlt
abgespiesen	'ʔaːp.gə.ʃpiː.zən
abgesplittert	'ʔaːp.gə.ʃplɪ.tɛɐt
abgesprochen	'ʔaːp.gə.ʃpʀoː.xən
abgespült	'ʔaːp.gə.ʃpʏlt
abgestammt	'ʔaːp.gə.ʃtamt
abgestanden	'ʔaːp.gə.ʃtan.dən
abgestattet	'ʔaːp.gə.ʃta.teːt
abgestaubt	'ʔaːp.gə.ʃtaʊpt
abgestellt	'ʔaːp.gə.ʃtɛlt
abgestempelt	'ʔaːp.gə.ʃtəm.pɛlt
abgesteppt	'ʔaːp.gə.ʃtɛpt
abgestimmt	'ʔaːp.gə.ʃtɪmt
abgestochen	'ʔaːp.gə.ʃtoː.xən
abgestorben	'ʔaːp.gə.ʃtɔɐ.bən
abgestoßen	'ʔaːp.gə.ʃtoː.sən
abgestrichen	'ʔaːp.gə.ʃtʀɪ.çən
abgestuft	'ʔaːp.gə.ʃtʊft
abgestumpft	'ʔaːp.gə.ʃtʊmpft
abgestumpftere	'ʔaːp.gə.ʃtʊmpf.tə.ʀə
abgestumpfteste	'ʔaːp.gə.ʃtʊmpf.tə.ʃtə
abgestürzt	'ʔaːp.gə.ʃtʏɐʦt
abgestützt	'ʔaːp.gə.ʃtʏʦt
abgesucht	'ʔaːp.gə.zʊxt
abgesumpft	'ʔaːp.gə.zʊmpft
abgesägt	'ʔaːp.gə.zɛkt
abgetastet	'ʔaːp.gə.ta.ʃteːt
abgetastete	'ʔaːp.gə.ta.ʃtə.tə
abgeteilt	'ʔaːp.gə.taɪlt
abgetippt	'ʔaːp.gə.tɪpt
abgetragen	'ʔaːp.gə.tʀaː.gən
abgetretene Forderungen	'ʔaːp.gə.tʀə.tə.neː .fɔɐ.də.ʀʊŋ.gən
abgetrieben	'ʔaːp.gə.tʀiː.bən
abgetrocknet	'ʔaːp.gə.tʀɔ.kneːt
abgetropft	'ʔaːp.gə.tʀɔpft
