of	ɒv
stem	stɛm
presumably	pɹɪzuməbli
practitioner	præktɪʃənə
conscience	kɒnʃəns
transport	tɹænzpɔɹt
puzzle	pʌzəl
elder	ɛldɚ
lightning	laɪtnɪŋ
instruct	ɪnstɹʌkt
curiosity	kjʊərɪɒsɪti
cafe	kæfeɪ
banker	bæŋkər
dying	daɪɪŋ
verdict	vɝdɪkt
eighth	eɪtθ
chunk	tʃʌŋk
throne	θɹəʊn
whip	wɪp
destiny	dɛstɪni
emperor	ɛmpəɹɚ
discourage	dɪskʌɹɪdʒ
balloon	bəlun
sudden	sʌdn
leak	lik
usage	jusidʒ
eyebrow	aɪbraʊ
predator	predətər
haul	hɔl
authentic	ɔθɛntɪk
scent	sent
surrender	sərɛndəɹ
taxi	tæksi
utterly	ʌtəɹli
frustrate	fɹʌstɹeɪt
audio	ɔdioʊ
subsequently	sʌbsɪkwəntli
miserable	mɪzrəbəl
patron	peɪtʃɹən
absurd	æbsɝd
distress	dɪstɹɛs
metropolitan	mɛtɹəpɒlɪtən
tenure	tɛnjɚ
pumpkin	pʌmpkɪn
contemplate	kɑntəmpleɪt
stove	stoʊv
reason	ɹizən
supplement	sʌpləmənt
circle	sɜɹkəl
affection	ʌfɛkʃən
compensate	kɒmpənseɪt
atheist	eɪθiɪst
spider	spaɪdəɹ
fulfil	fʊlfɪl
sovereignty	sɒvɹənti
straighten	stɹeɪtn
erase	ɪɹeɪs
immigrant	ɪmɪɡɹənt
spike	spaɪk
sofa	səʊfə
thy	ðaɪ
grade	ɡɹeɪd
transparent	trænspærənt
plunge	plʌndʒ
jerk	dʒɜk
partisan	pɑtɪzæn
precedent	pɹɛsɪdənt
kilometer	kəlɑmɨɾɹ
spark	spɑrk
manipulation	mənɪpjʊuleɪʃʌn
tub	tʌb
total	təʊtəl
sympathetic	sɪmpəθɛtɪk
kind	kaɪnd
bipartisan	baɪpɑɹtɪzæn
cohort	kəʊhɔɹt
comet	kɒmət
ground	ɡɹaʊnd
genome	dʒinəʊm
prey	pɹeɪ
dioxide	daɪɒksaɪd
handy	hændi
glorious	ɡlɔɹiəs
cinema	sɪnəmə
shaft	ʃæft
translator	tɹænzleɪtɚ
bully	bʊli
collaborate	kəlæbəɹeɪt
thanks	θæŋks
faction	fækʃən
puppet	pʌpɪt
secretly	sikrətli
paid	peɪd
umbrella	ʌmbɹɛlə
scrape	skreɪp
slate	sleɪt
skiing	skiɪŋ
amend	əmɛnd
embarrassment	ɪmbæɹəsmənt
aloud	ʌlaʊd
mug	mʌɡ
stink	stɪŋk
exile	ɛksaɪl
vine	vaɪn
dictator	dɪkteɪtəɹ
feminine	fɛmɪnɪn
dim	dɪm
massacre	mæsəkəɹ
referendum	ɹɛfəɹɛndəm
comprehend	kɒmpɹɪhɛnd
referral	rifɹəl
severity	səvɛɹɨɾi
whistle	wɪsl
inconsistent	ɪnkənsɪstənt
nursery	nɝsəri
syrup	sɪɹəp
anchor	æŋkə
intercept	ɪntɚsɛpt
called	kɔld
tester	tɛstə
pew	pju
worthwhile	wɜɹθwaɪl
dwarf	dwɔrf
nationwide	neɪʃənwaɪd
thermal	θɝməl
definitive	dɪfɪnɪtɪv
pod	pɒd
antique	æntik
savannah	səvænə
statewide	steɪtwaɪd
interim	intɜrim
scam	skæm
dispose	dɪspoʊz
fearful	fɪəfəl
hurdle	hɝdəl
leisure	liʒər
surge	sɝdʒ
blunt	blʌnt
shepherd	ʃɛpərd
pasture	pɑstʃə
pastry	peɪstri
slack	slæk
allegiance	əlidʒəns
coupon	kjupɑn
intermediate	ɪntəɹmɪidɪiət
formidable	fɔɹmɪdəbəl
duck	dʌk
grad	ɡɹæd
vineyard	vɪnjɚd
obscure	əbskjʊəɹ
lace	leɪs
deepen	dipən
moan	moʊn
boot	but
trillion	tɹɪljən
gal	ɡæl
anonymity	ænənɪməɾi
informant	ɪnfɔmənt
homer	həʊmə
razor	ɹeɪzə
moral	mɔrəl
righteous	raɪtʃəs
fungus	fʌŋɡəs
baggage	bæɡɪdʒ
disgust	dɪsɡʌst
extreme	ɪkstɹim
pundit	pʌndɪt
multitude	mʌltɪtjud
aspire	əspaiɚ
adult	ædlt
sync	sɪŋk
reversal	ɹɪvɜɹsəl
daytime	deɪtaɪm
intercourse	ɪntɚkɔɹs
hue	hju
stuck	stʌk
shack	ʃæk
degradation	dɛgɹədeɪʃən
flake	fleɪk
trooper	tɹupəɹ
collide	kəlɑɪd
square	skwɛəɹ
alleviate	əlivieɪt
delusion	dɪluʒən
stew	stju
adaptive	ədæptɪv
annoy	ənɔɪ
after	ɑftəɹ
embargo	ɪmbɑɹɡoʊ
lecture	lɛktʃə
rant	ɹænt
conserve	kənsɜrv
pant	pænt
humane	hjumeɪn
reminiscent	ɹɛmənɪsnt
mislead	mɪslid
liner	laɪnə
maverick	mævərɪk
commence	kəmɛns
exemplify	ɪɡzɛmplɪfaɪ
curb	kɜb
marsh	mɑɹʃ
catalogue	kætəlɒɡ
read	ɹɛd
needy	nidi
briefcase	brifkeɪs
swimmer	swɪməɹ
hesitation	hɛzɪteɪʃən
dial	daɪəɫ
magician	mədʒɪʃən
sexist	sɛksɪst
spill	spɪl
derivative	dɪɹɪvətɪv
relic	ɹɛlɪk
facet	fæsɪt
graceful	ɡɹeɪsfʊl
envy	ɛnvi
contour	kɒntʊər
chalk	tʃɔk
yeast	jist
slam	slam
shelter	ʃɛltə
inflate	ɪnfleɪt
affiliate	ʌfɪliet
mingle	mɪŋɡəl
alphabet	ælfəbɛt
stylish	staɪlɪʃ
harness	hɑɹnəs
fasten	fæsən
denomination	dɪnɒmɪneɪʃən
longevity	lɒndʒɛvɪti
displacement	dɪspleɪsmənt
man	mæn
augment	ɔɡmɛnt
deacon	dikən
interruption	ɪntəɹʌpʃən
ion	aɪən
cosmetic	kɔzmɛɾɪk
rum	ɹʌm
confide	kənfaɪd
polish	pɒlɪʃ
salty	sɒlti
tar	tɑɹ
crib	kɹɪb
metallic	mɪtælɪk
divisive	dɪvaɪsɪv
cleric	klɛɹɪk
outpost	aʊtpoʊst
boob	bub
salvage	sælvɪdʒ
asphalt	æsfɔlt
rake	ɹeɪk
bilingual	baɪlɪŋɡwəl
dawn	dɔn
handkerchief	haŋkətʃif
bound	baʊnd
puddle	pʌdəl
overhead	əʊvəhɛd
chic	ʃik
eyelid	aɪlɪd
excerpt	ɛgzɜt
hymn	hɪm
kill	kɪl
grate	ɡɹeɪt
dart	dɑɹt
fetal	fitl
iceberg	aɪsbɜɡ
amuse	əmjuz
snag	snæɡ
espouse	ɛsspaʊz
fanatic	fənætɪk
stale	steɪl
dearly	dɪəɹli
homage	ɒmɨdʒ
hideous	hɪdiʌs
daring	deəɹɪŋg
pineapple	paɪnæpəl
magnify	maɡnɪfʌɪ
accreditation	əkɹɛdɪteɪʃən
affirmation	æfɝmeɪʃn
ancestry	ænsɛstɹi
royal	rɔɪəl
academically	ækədɛmɪkəli
determinant	dɪtɜɹmɪnənt
predicament	pɹɪdɪkəmənt
hide	haɪd
comb	kəʊm
lawful	lɔfʊl
following	fɑloʊɪŋ
weed	wid
sly	slaɪ
penetration	pɛnɪtɹeɪʃən
waver	weɪvəɹ
genesis	dʒɛnəsɪs
apprehension	æpɹihɛnʃən
solidify	səlɪdəfaɪ
notoriously	nətɔɹɪəsli
gut	ɡʌt
scrub	skɹʌb
aggravate	æɡrəvet
savage	sævɪdʒ
diarrhea	daɪəɹiə
fume	fjum
null	nʌl
skate	skeɪt
sarcasm	sɑkæzəm
cynicism	sɪnɪsɪzəm
exploit	ɪksplɔɪt
pimp	pɪmp
intestine	ɪntɛstɪn
audible	ɔədibl
sulfur	sʌlfə
expend	ɪkspɛnd
fitting	fɪtɪŋ
hallucination	həlusəneɪʃən
corroborate	kərɒbəreɪt
backstage	bæksteɪdʒ
negate	nɪɡeɪt
brew	bru
penalize	pɛnəlaɪz
torrent	tɔɹɪnt
defective	dɪfɛktɪv
amazement	ʌmezmɛnt
zipper	zɪpɚ
umpire	ʌmpaɪəɹ
smug	smʌɡ
grand	ɡɹænd
excess	ɛksɛs
absurdity	æbsɝdɪti
brittle	bɹɪtl
revere	rəvir
ignition	ɪgnɪʃən
afterlife	æftɚlaɪf
geology	dʒiɑlədʒɪ
ram	ɹæm
rooster	rustər
parade	pəɹeɪd
crony	kroʊni
birdie	bərdi
tendon	tɛndən
caricature	kærɪkətʃʊɚ
wink	wɪŋk
swell	swɛl
cradle	kreɪdəl
wrench	ɹɛntʃ
maxim	mæksɪm
save	seɪv
pitfall	pɪtfɔl
wrench	ɹɛntʃ
iris	aɪɹɪs
amazon	æməzɑn
video	vɪdioʊ
prognosis	prɒɡnəʊsɪs
payback	peɪbæk
mahogany	məhɒɡəni
shabby	ʃæbi
cardboard	kɑdbɔd
meticulous	mɨtɪkjɨlɨs
hereby	hɪrbaɪ
sovereign	sɒvrɪn
wasteful	weɪstfəl
timid	tɪmɪd
taut	tɔt
front	fɹʌnt
malware	mælweəɹ
nickname	nɪkneɪm
dwindle	dwɪndəl
teddy	tɛdi
distraught	dɪstɹɔt
subprime	sʌbpɹʌɪm
bait	beɪt
grace	ɡɹeɪs
buggy	bʌɡi
ace	eɪs
rebuttal	ɹɪbʌtəl
pursuit	pəsjut
clerical	klɛɹɪkəl
accentuate	æksentʃueɪt
forsake	foɻseɪk
magnolia	mæɡnoliə
crispy	krɪspi
sporadic	spərædɾɪk
rafter	ɹɑftəɹ
deficient	dɪfɪʃənt
resin	ɹɛzɪn
semantics	sɪmæntɪks
rummage	ɹʌmɪdʒ
case	keɪs
inward	ɪnwəd
rendezvous	ɹɒndɪvu
caramel	kæɹəmɛl
troll	tɹɒl
detriment	dɛtɹɪmənt
prick	pɹɪk
regularity	ɹɛɡjulæɹəti
cola	kəʊlə
pap	pæp
invincible	ɪnvɪnsɪbl
tau	taʊ
abstain	æbsteɪn
piece	pis
instil	ɪnstɪl
momentous	məʊmɛntəs
amp	æmp
denominator	dɪnɒmɪneɪtəɹ
toaster	toʊstɚ
devalue	divælju
digestion	daɪdʒɛstʃən
dreamy	dɹimi
binding	baɪndiŋ
silicone	sɪlɪkəʊn
supplant	səplɑnt
jubilee	dʒubɪli
impasse	ɪmpæs
flail	fleɪl
decree	dɪkɹi
idle	aɪdəl
orb	ɔrb
deluxe	dəlʌks
hitch	hɪtʃ
zebra	zibɹə
privy	pɹɪvi
dermatologist	dɜɹmətɒlədʒɪst
supersede	suwpɹsijd
subordinate	səbɔdɪnət
pivot	pɪvət
paradoxical	pɛrədɑksɪkəl
skillful	skɪlfəl
archdiocese	ɑtʃdaɪəsɪs
denigrate	dɛnɪɡɹeɪt
tights	taɪts
humanism	hjumənɪzəm
despair	dɪspɛər
allot	əlɑt
cardio	kɑdɪəʊ
meander	miændəɹ
outdo	aʊtdu
grit	ɡɹɪt
notoriety	noʊtɚaɪəti
whine	waɪn
heron	hɛɹən
veritable	vɛritəbl
aggregate	æɡrɪɡət
limelight	laɪmlaɪt
hectare	hɛktɛ
enigma	ənɪɡmə
uphill	ʌphɪl
guard	ɡɑɹd
aristocracy	æɹɪstɒkɹəsi
medley	mɛdli
ornamental	ɔɹnəmɛntl
lap	læp
matching	mætʃɪŋ
testicle	tɛstɪkəl
buzzer	bʌzə
dull	dʌl
gripe	ɡɹʌɪp
pare	peəɹ
leaflet	liflɪt
fracture	fɹæktʃɘ
blasphemy	blæsfəmɪ
anoint	ʌnɔɪnt
ultimatum	ʌltɪmeɪtəm
hapless	hæplɪs
scandalous	skændələs
stagnation	stæɡneɪʃən
misrepresentation	mɪsɹɛpɹɨzɛnteɪʃən
spite	spaɪt
chirp	tʃɜɹp
maroon	mərun
rye	ɹaɪ
escalator	ɛskəleɪtə
derogatory	dɪɹɒɡətɹi
scalpel	skælpəl
wart	wɔɹt
nifty	nɪfti
over	əʊvəɹ
cashmere	kæʒmiɹ
lair	lɛɹ
silo	saɪloʊ
wayward	weɪwɚd
father	fɑðɚ
siphon	saɪfən
practise	pɹæktɪs
bathrobe	bɑθɹəʊb
concoction	kənkɒkʃən
breakfast	bɹɛkfəst
synopsis	sɪnɑpsɪs
wiki	wiki
tycoon	taikun
abject	æbdʒɛkt
scot	skɒt
dissection	dɪsɛkʃən
whisky	mɪski
prowl	praʊl
mug	mʌɡ
errant	ɛɹənt
turquoise	tɜɹkwɔɪz
site	saɪt
foreshadow	fɔʃadəʊ
consequent	kɑnsɪkwənt
altercation	ɔltɚkeʃən
distal	dɪstəl
wow	waʊ
consul	kɒnsəl
leisurely	liʒɚli
summons	sʌmənz
contraceptive	kɒntrəsɛptɪv
awning	ɔnɪŋ
stub	stʌb
jaded	dʒeɪdɛd
gape	ɡeɪp
grease	ɡris
gloss	ɡlɒs
ethereal	ɪθɪriəl
snob	snɒb
defraud	dɪfɹɔd
repertory	ɹɛpəɹtɔɹi
additive	æɾətɪv
kink	kɪŋk
sleigh	sleɪ
gauze	ɡɔz
extrinsic	ɛkstrɪnzɪk
prequel	pɹikwəl
quarrel	kwɔrəl
recast	rikɑst
abiding	əbaɪdɪŋ
plunder	plʌndər
encroach	ɪnkɹəʊtʃ
sup	sʌp
retainer	ɹəteɪnɚ
belligerent	bəlɪdʒəɹənt
fence	fɛnts
sober	səʊbəɹ
wild	waɪld
discerning	dɪsɝniŋ
widening	waɪdənɪŋ
degeneration	dɪdʒɛnəɹeɪʃən
cog	kɑɡ
cut	kʌt
artful	ɑɹtfʊl
nautical	nɔtɪkl
oncology	ɒŋkɒlədʒi
typify	tɪpɪfaɪ
tint	tɪnt
mirage	mɪrɑʒ
purr	pɜɹ
accredit	əkrɛdɪt
daydream	deɪdrim
know	nəʊ
widower	wɪdoʊɚ
hound	haʊnd
wickedness	wɪkɪdnəs
smudge	smʌdʒ
amorphous	əmɔrfəs
zodiac	zəʊdɪæk
graft	ɡɹæft
fission	fɪʃən
punt	pʌnt
nativity	nətɪvɪti
perpendicular	pɝpɛndɪkjulɝ
coolly	kʊullɪi
gruff	ɡɹʌf
rewind	riwʌɪnd
ice	aɪs
scorn	skɔrn
barometer	bəɹɒmətəɹ
harbinger	hɑɹbɪndʒɚ
amiss	əmɪs
cadaver	kədævəɹ
schism	sɪzəm
thoroughfare	θʌɹəfɛ
clot	klɒt
medial	midiəl
lingo	lɪŋɡəʊ
cauliflower	kɒlɪflaʊə
revulsion	ɹɪvʌlʃən
extraneous	ɪkstreɪniəs
gripe	ɡɹʌɪp
sprinter	spɹɪntər
tout	taʊt
pariah	pəraɪə
deleterious	dɛlətɪriəs
stabbing	stæbɪŋ
catapult	kætəpʌlt
botch	bɑtʃ
legging	lɛɡɪŋ
delirious	dɪlɪɹɪəs
equalize	ikwəlʌɪz
cacophony	kəkɒfəni
dictum	dɪktəm
proviso	prəvaɪzoʊ
irrigate	ɪɹəɡeɪt
tracer	tɹeɪsəɹ
basilica	bəsɪlɪkə
smudge	smʌdʒ
smattering	smætəɹɪŋ
beef	bif
deranged	dɪɹeɪndʒd
disparaging	dɪspæɹɪdʒɪŋg
welder	wɛldəɹ
crucible	kɹusɪbəl
piper	paɪpə
diagonally	daɪæɡənəli
amok	əmɒk
override	əʊvəraɪd
cabal	kəbæl
polka	pɒlkə
unplug	ʌnplʌɡ
ogre	əʊɡə
corporal	kɔpɹəl
dragonfly	dræɡənflaɪ
thunderous	θʌndəɹəs
drapery	dreɪpəri
charlatan	ʃɑɹlətən
deathly	dɛθli
beefy	bifi
enjoin	ɛndʒɔɪn
vehicular	viɪkjələɹ
unwrap	ʌnræp
swig	swɪɡ
divider	dɪvaɪdəɹ
retort	rɪtɔt
antipathy	æntɪpəθi
capitulate	kəpɪtjʊleɪt
gas	ɡæs
harbour	hɑbə
dehumanize	dihjumənaɪz
rinse	ɹɪns
cleave	kliv
overcast	oʊvɚkæst
derivation	dɛɹɪveɪʃən
wick	wɪk
raven	reɪvən
bide	baɪd
oligarch	oʊlɪɡɑrk
subsidiary	sʌbsɪdjɜɹi
skimpy	skɪmpi
class	klæs
chai	tʃaɪ
overeat	oʊvɚit
ballistics	bəlɪstɪks
backpack	bækpæk
corporeal	kɔpɔɹɪəl
tiptoe	tɪptoʊ
unabashed	ʌnəbæʃt
bother	bɒðər
posthumous	pɒstʃəməs
overcome	əʊvəkʌm
morph	mɔrf
pug	pʌɡ
gilt	ɡɪɫt
misogynistic	mɪsɒdʒənɪstɪk
dusky	dʌski
hyperactive	haɪpəɹæktɪv
cheque	tʃek
silhouette	sɪlʊwɛt
suffuse	səfjuz
lumbar	lʌmbɑ
dioxin	daɪɒksɪn
disembodied	dɪsɪmbɒdid
helix	hilɪks
ream	rim
snicker	snɪkəɹ
grotto	ɡɹɑtoʊ
op-ed	ɒpɛd
generative	dʒenərətɪv
orderly	ɔdəli
kitty	kɪti
mountaineer	maʊntɪnɪəɹ
carer	kɛəɹɚ
pet	pɛt
steer	stɪər
courtier	kɔɹtiɚ
raspy	ɹɑspɪ
vole	vəʊl
schmuck	ʃmʌk
meow	miaʊ
spook	spuk
mangled	mæŋɡəld
despondent	dɪspɒndənt
exegesis	ɛksɪdʒisɪs
licensee	laɪsənsi
lust	lʌst
unabated	ʌnəbeɪtɪd
sorghum	sɔɹɡəm
meatloaf	mitloʊf
squirt	skwɜrt
hodgepodge	hɒdʒpɒdʒ
abbot	æbət
diamondback	daɪməndbæk
puma	pumə
dilation	daɪleɪʃən
spongy	spʌndʒi
acrid	ækɹɪd
decoding	dɪkəʊdɪŋg
workmanship	wɜkmənʃɪp
knoll	nəʊl
pedophilia	pɛdəfiliə
none	nʌn
frisk	fɹɪsk
dazzle	dæzəl
moccasin	mɑkəsɪn
awed	ɔd
cursed	kɜst
foible	fɔɪbəl
core	kɔɹ
stein	staɪn
turmeric	tɜɹməɹɪk
behoove	bɨhuv
spacer	speɪsər
levitate	lɛvɪteɪt
mettle	mɛtl
kelp	kɛlp
spigot	spɪɡət
traipse	tɹeɪps
cataclysm	kætəklɪzm
flamenco	fləmɛŋkəʊ
accelerometer	ɪksɛlərɑmətɚ
cellophane	sɛləfeɪn
frigate	fɹɪɡət
fucked-up	fʌktʌp
sponge	spʌndʒ
figurehead	fɪgjəɹhɛd
invective	ɪnvɛktɪv
remiss	ɹəmɪs
clog	klɒɡ
stork	stɔrk
telepathy	təlɛpəthi
aqueous	eɪkwiəs
holiday	hɒlɪdeɪ
warlock	wɔlɒk
licorice	lɪkəɹɪʃ
causeway	kɔzweɪ
derived	dɪɹaɪvd
etymology	ɛtəmɑlədʒi
islet	aɪlɪt
biotic	baɪɒtɪk
croquet	kroʊkeɪ
demure	dɪmjʊəɹ
blight	blaɪt
glyph	ɡlɪf
hairpin	heɪrpɪn
queer	kwir
quibble	kwɪbəl
tatters	tætəz
noncommittal	nɑnkəmɪtl
flabby	flæbi
misunderstood	mɪsɜndərstʊd
ex	ɛks
petticoat	pɛtɪkəʊt
theism	θiɪzəm
olden	əʊldn
portly	pɔtli
deceleration	dɪsɛləɹeɪʃən
protease	pɹəʊtɪeɪz
excommunicate	ɛkskəmjunɪkət
formalism	fɔməlɪzəm
shamrock	ʃæmɹɒk
excoriate	ɪkskɔɹieɪt
sacrosanct	sækɹoʊsæŋkt
singe	sɪndʒ
libelous	laɪbəlʌs
disassociate	əsəʊʃieɪt
quack	kwæk
turner	tɜrnər
offhand	ɔfhænd
pinhead	pɪnhɛd
bop	bɒp
admittance	ədmɪtns
toy	tɔɪ
reprise	rəpriz
ditty	dɪti
ocular	ɑkjəlɚ
bod	bɒd
cymbal	kɪmbəl
conformation	kɑnfɚmeɪʃən
retrofit	ɹɛtɹəʊfɪt
curate	kjʊərət
minotaur	mɪnətɔɹ
advance	ədvæns
flagstone	flæɡstəʊn
chipotle	tʃɪpəʉtleɪ
attire	ətaɪər
apocryphal	əpɑkɹɪfəl
cream	kɹim
prude	prud
bandana	bændænə
mic	maɪk
russet	rʌsət
portent	pɔɹtɛnt
birder	bɜrdər
nag	næɡ
bellwether	bɛlwɛðə
ukulele	jukəleɪli
bygone	baɪɡɒn
ibis	aɪbɪs
soldier	səʊldʒəɹ
impetuous	impɛtʃuəs
koala	kəʊɑlə
trapeze	tɹəpiz
puritanical	pjʊəɹɪtænɪkəl
haiku	haɪku
vacillate	væsəleɪt
firebrand	faɪəbɹænd
depredation	dɛpɹədeɪʃən
analytically	ænʌlɪtɪcʌlli
rhapsody	ɹapsədi
rue	ru
tanning	tænɪŋ
icebox	ʌɪsbɒks
potpourri	pəʊpɜɹi
airless	eəɹləs
freckle	fɹɛkəl
pawnshop	pɔnʃɒp
